n_qubits, total_time, decomposition_time, error, total_gates, cnot, single_qubit, elementary_total
1, 1.08619308, 0.00034094, 0.000e+00, 2, 0, 2, 2
2, 0.00285816, 0.00044012, 1.220e-15, 24, 6, 18, 24
3, 0.00872707, 0.00201416, 5.216e-15, 115, 40, 75, 115
4, 0.04286075, 0.00484705, 1.657e-14, 538, 196, 342, 538
5, 0.23708224, 0.02790499, 6.754e-14, 2364, 908, 1456, 2364
6, 1.84246111, 0.16588402, 1.793e-13, 9847, 3862, 5985, 9847
7, 15.94764209, 0.42206621, 5.148e-13, 40156, 15892, 24264, 40156
8, 1.70524716, 1.58625793, N/A, 162229, 64542, 97687, 162229
9, 7.39026999, 6.25260210, N/A, 652147, 260130, 392017, 652147
10, 39.77840900, 27.39051890, N/A, 2614988, 1044506, 1570482, 2614988
11, 332.58916235, 119.92047596, N/A, 10472825, 4186142, 6286683, 10472825
12, 3310.31662607, 609.20534682, N/A, 41917238, 16760858, 25156380, 41917238
