n_qubits, total_time, decomposition_time, error, total_gates, cnot, single_qubit, elementary_total
1, 0.00055909, 0.00023127, 1.570e-16, 1, 0, 1, 1
2, 0.00054288, 0.00017190, 1.397e-15, 6, 4, 14, 18
3, 0.00147319, 0.00056505, 1.535e-14, 15, 24, 59, 83
5, 0.01201200, 0.00128317, 7.446e-14, 45, 88, 177, 265
7, 0.23114204, 0.00570297, 2.056e-13, 91, 192, 359, 551
10, 0.03819585, 0.00496793, N/A, 190, 452, 758, 1210
13, 0.09213185, 0.00795746, N/A, 325, 824, 1305, 2129
19, 0.44191003, 0.04779315, N/A, 701, 1976, 2809, 4785
26, 1.19220400, 0.03414607, N/A, 1321, 3962, 5325, 9287
37, 6.87124014, 0.07578325, N/A, 2670, 8782, 10766, 19548
51, 24.85417485, 0.16470718, N/A, 5134, 17838, 20854, 38692
71, 150.24978399, 0.28699708, N/A, 9898, 36830, 39762, 76592
100, 611.58875418, 0.56660724, N/A, 19827, 78300, 80859, 159159
138, 3649.42802310, 0.87081718, N/A, 37742, 156978, 151362, 308340
193, 15952.74409389, 2.30093789, N/A, 74135, 327146, 304495, 631641
