n_qubits, trotter_steps, total_time, decomposition_time, verification_time, error, total_gates, cnot, single_qubit, elementary_total
1, 1, 0.00092006, 0.00000286, 0.00087285, 0.000e+00, 1, 0, 1, 1
1, 2, 0.00007915, 0.00000191, 0.00005198, 0.000e+00, 2, 0, 2, 2
1, 4, 0.00007391, 0.00000119, 0.00005198, 3.511e-16, 4, 0, 4, 4
1, 8, 0.00009012, 0.00000310, 0.00006580, 4.441e-16, 8, 0, 8, 8
1, 1, 0.00004816, 0.00000119, 0.00002789, 0.000e+00, 1, 0, 1, 1
1, 2, 0.00005102, 0.00000119, 0.00003099, 0.000e+00, 2, 0, 2, 2
1, 4, 0.00006294, 0.00000119, 0.00004292, 3.511e-16, 4, 0, 4, 4
2, 1, 0.00099611, 0.00000095, 0.00096703, 1.598e+00, 3, 2, 7, 9
2, 2, 0.00033426, 0.00002503, 0.00024605, 5.694e-01, 6, 4, 14, 18
2, 4, 0.00027895, 0.00000381, 0.00024414, 2.573e-01, 12, 8, 28, 36
2, 8, 0.00041795, 0.00000381, 0.00038719, 1.255e-01, 24, 16, 56, 72
2, 2, 0.00016904, 0.00000215, 0.00014400, 5.694e-01, 6, 4, 14, 18
2, 4, 0.00034308, 0.00000381, 0.00030589, 2.573e-01, 12, 8, 28, 36
2, 8, 0.00036693, 0.00000286, 0.00033522, 1.255e-01, 24, 16, 56, 72
3, 1, 0.00028896, 0.00000191, 0.00026608, 2.835e+00, 5, 4, 13, 17
3, 2, 0.00036407, 0.00000215, 0.00033784, 1.186e+00, 10, 8, 26, 34
3, 4, 0.00056076, 0.00000310, 0.00052977, 5.610e-01, 20, 16, 52, 68
3, 8, 0.00095415, 0.00000620, 0.00091791, 2.765e-01, 40, 32, 104, 136
3, 3, 0.00046372, 0.00000310, 0.00043607, 7.592e-01, 15, 12, 39, 51
3, 6, 0.00075698, 0.00000381, 0.00072098, 3.700e-01, 30, 24, 78, 102
3, 12, 0.00135684, 0.00000787, 0.00130701, 1.838e-01, 60, 48, 156, 204
5, 1, 0.00153017, 0.00000215, 0.00147700, 6.826e+00, 9, 8, 25, 33
5, 2, 0.00229120, 0.00000167, 0.00225425, 3.175e+00, 18, 16, 50, 66
5, 4, 0.00348711, 0.00004768, 0.00334787, 1.501e+00, 36, 32, 100, 132
5, 8, 0.00758505, 0.00000906, 0.00753593, 7.394e-01, 72, 64, 200, 264
5, 5, 0.00723386, 0.00000620, 0.00714016, 1.192e+00, 45, 40, 125, 165
5, 10, 0.01187396, 0.00003505, 0.01176119, 5.905e-01, 90, 80, 250, 330
5, 20, 0.02096701, 0.00004888, 0.02083683, 2.945e-01, 180, 160, 500, 660
7, 1, 0.03427792, 0.00000310, 0.03420091, 1.474e+01, 13, 12, 37, 49
7, 2, 0.04804111, 0.00001192, 0.04796600, 7.516e+00, 26, 24, 74, 98
7, 4, 0.07356071, 0.00001001, 0.07349396, 3.588e+00, 52, 48, 148, 196
7, 8, 0.12590718, 0.00001717, 0.12582326, 1.770e+00, 104, 96, 296, 392
7, 7, 0.10386992, 0.00004411, 0.10376501, 2.026e+00, 91, 84, 259, 343
7, 14, 0.25667930, 0.00002503, 0.25654578, 1.009e+00, 182, 168, 518, 686
7, 28, 0.46000600, 0.00007176, 0.45977688, 5.038e-01, 364, 336, 1036, 1372
10, 1, 0.00003028, 0.00000405, N/A, N/A, 19, 18, 55, 73
10, 2, 0.00004196, 0.00000906, N/A, N/A, 38, 36, 110, 146
10, 4, 0.00008702, 0.00001502, N/A, N/A, 76, 72, 220, 292
10, 8, 0.00010705, 0.00004363, N/A, N/A, 152, 144, 440, 584
10, 10, 0.00041604, 0.00008917, N/A, N/A, 190, 180, 550, 730
10, 20, 0.00069714, 0.00022388, N/A, N/A, 380, 360, 1100, 1460
10, 40, 0.00167489, 0.00092983, N/A, N/A, 760, 720, 2200, 2920
13, 1, 0.00007796, 0.00001717, N/A, N/A, 25, 24, 73, 97
13, 2, 0.00067711, 0.00001502, N/A, N/A, 50, 48, 146, 194
13, 4, 0.00015688, 0.00003791, N/A, N/A, 100, 96, 292, 388
13, 8, 0.00037193, 0.00010610, N/A, N/A, 200, 192, 584, 776
13, 13, 0.00114393, 0.00060606, N/A, N/A, 325, 312, 949, 1261
13, 26, 0.00100398, 0.00028014, N/A, N/A, 650, 624, 1898, 2522
13, 52, 0.00190902, 0.00051093, N/A, N/A, 1300, 1248, 3796, 5044
19, 1, 0.00014210, 0.00001669, N/A, N/A, 37, 36, 109, 145
19, 2, 0.00007606, 0.00003386, N/A, N/A, 74, 72, 218, 290
19, 4, 0.00075507, 0.00005913, N/A, N/A, 148, 144, 436, 580
19, 8, 0.00076699, 0.00038004, N/A, N/A, 296, 288, 872, 1160
19, 19, 0.00109482, 0.00031781, N/A, N/A, 703, 684, 2071, 2755
19, 38, 0.00093484, 0.00035596, N/A, N/A, 1406, 1368, 4142, 5510
19, 76, 0.00498605, 0.00201321, N/A, N/A, 2812, 2736, 8284, 11020
26, 1, 0.00018787, 0.00002408, N/A, N/A, 51, 50, 151, 201
26, 2, 0.00030804, 0.00003982, N/A, N/A, 102, 100, 302, 402
