n_qubits, trotter_steps, total_time, decomposition_time, verification_time, error, total_gates, cnot, single_qubit, elementary_total
1, 1, 0.00018930, 0.00000310, 0.00014210, 0.000e+00, 1, 0, 1, 1
1, 2, 0.00008106, 0.00000191, 0.00005412, 0.000e+00, 2, 0, 2, 2
1, 4, 0.00007701, 0.00000215, 0.00005198, 3.511e-16, 4, 0, 4, 4
1, 8, 0.00009012, 0.00000215, 0.00006771, 4.441e-16, 8, 0, 8, 8
1, 1, 0.00004816, 0.00000119, 0.00002789, 0.000e+00, 1, 0, 1, 1
1, 2, 0.00005102, 0.00000072, 0.00003195, 0.000e+00, 2, 0, 2, 2
1, 4, 0.00006700, 0.00000215, 0.00004411, 3.511e-16, 4, 0, 4, 4
2, 1, 0.00021982, 0.00000215, 0.00019813, 1.598e+00, 3, 2, 7, 9
2, 2, 0.00017285, 0.00000191, 0.00015092, 5.694e-01, 6, 4, 14, 18
2, 4, 0.00026965, 0.00000215, 0.00024390, 2.573e-01, 12, 8, 28, 36
2, 8, 0.00043201, 0.00000405, 0.00040317, 1.255e-01, 24, 16, 56, 72
2, 2, 0.00031590, 0.00000191, 0.00027800, 5.694e-01, 6, 4, 14, 18
2, 4, 0.00024700, 0.00000405, 0.00021386, 2.573e-01, 12, 8, 28, 36
2, 8, 0.00034904, 0.00000405, 0.00031805, 1.255e-01, 24, 16, 56, 72
3, 1, 0.00030017, 0.00000095, 0.00027180, 2.835e+00, 5, 4, 13, 17
3, 2, 0.00036812, 0.00000215, 0.00034022, 1.186e+00, 10, 8, 26, 34
3, 4, 0.00058222, 0.00000381, 0.00054097, 5.610e-01, 20, 16, 52, 68
3, 8, 0.00103498, 0.00000596, 0.00095487, 2.765e-01, 40, 32, 104, 136
3, 3, 0.00051880, 0.00000286, 0.00044489, 7.592e-01, 15, 12, 39, 51
3, 6, 0.00083804, 0.00000429, 0.00074697, 3.700e-01, 30, 24, 78, 102
3, 12, 0.00145316, 0.00000811, 0.00136828, 1.838e-01, 60, 48, 156, 204
5, 1, 0.00156784, 0.00000501, 0.00150704, 6.826e+00, 9, 8, 25, 33
5, 2, 0.00251698, 0.00000310, 0.00248790, 3.175e+00, 18, 16, 50, 66
5, 4, 0.00339794, 0.00004196, 0.00332808, 1.501e+00, 36, 32, 100, 132
5, 8, 0.01681209, 0.00001097, 0.01668882, 7.394e-01, 72, 64, 200, 264
5, 5, 0.00499701, 0.00000715, 0.00495911, 1.192e+00, 45, 40, 125, 165
5, 10, 0.01570296, 0.00001311, 0.01563692, 5.905e-01, 90, 80, 250, 330
7, 1, 0.04345703, 0.00000310, 0.04341197, 1.474e+01, 13, 12, 37, 49
7, 2, 0.04276514, 0.00000501, 0.04271984, 7.516e+00, 26, 24, 74, 98
7, 4, 0.09221411, 0.00001192, 0.09215188, 3.588e+00, 52, 48, 148, 196
7, 8, 0.22479391, 0.00001693, 0.22471285, 1.770e+00, 104, 96, 296, 392
7, 7, 0.18888807, 0.00004292, 0.18877506, 2.026e+00, 91, 84, 259, 343
7, 14, 0.25306487, 0.00002503, 0.25295067, 1.009e+00, 182, 168, 518, 686
7, 28, 0.57556129, 0.00006819, 0.57533789, 5.038e-01, 364, 336, 1036, 1372
10, 1, 0.00003004, 0.00000501, N/A, N/A, 19, 18, 55, 73
10, 2, 0.00010014, 0.00000525, N/A, N/A, 38, 36, 110, 146
10, 4, 0.00018883, 0.00001788, N/A, N/A, 76, 72, 220, 292
10, 8, 0.00017190, 0.00004387, N/A, N/A, 152, 144, 440, 584
10, 10, 0.00019693, 0.00002289, N/A, N/A, 190, 180, 550, 730
10, 20, 0.00027418, 0.00007796, N/A, N/A, 380, 360, 1100, 1460
10, 40, 0.00049686, 0.00012326, N/A, N/A, 760, 720, 2200, 2920
13, 1, 0.00009513, 0.00000620, N/A, N/A, 25, 24, 73, 97
13, 2, 0.00017810, 0.00000691, N/A, N/A, 50, 48, 146, 194
13, 4, 0.00012684, 0.00001311, N/A, N/A, 100, 96, 292, 388
13, 8, 0.00019574, 0.00004411, N/A, N/A, 200, 192, 584, 776
13, 13, 0.00054288, 0.00029993, N/A, N/A, 325, 312, 949, 1261
13, 26, 0.00040102, 0.00011110, N/A, N/A, 650, 624, 1898, 2522
13, 52, 0.00076079, 0.00020480, N/A, N/A, 1300, 1248, 3796, 5044
19, 1, 0.00009704, 0.00000596, N/A, N/A, 37, 36, 109, 145
19, 2, 0.00054693, 0.00009298, N/A, N/A, 74, 72, 218, 290
19, 4, 0.00031090, 0.00005198, N/A, N/A, 148, 144, 436, 580
19, 8, 0.00060391, 0.00014615, N/A, N/A, 296, 288, 872, 1160
19, 19, 0.00122023, 0.00043607, N/A, N/A, 703, 684, 2071, 2755
19, 38, 0.00242615, 0.00090408, N/A, N/A, 1406, 1368, 4142, 5510
19, 76, 0.00422406, 0.00124907, N/A, N/A, 2812, 2736, 8284, 11020
26, 1, 0.00022793, 0.00002599, N/A, N/A, 51, 50, 151, 201
26, 2, 0.00013804, 0.00001717, N/A, N/A, 102, 100, 302, 402
26, 4, 0.00027609, 0.00006008, N/A, N/A, 204, 200, 604, 804
26, 8, 0.00031924, 0.00008488, N/A, N/A, 408, 400, 1208, 1608
26, 26, 0.00246286, 0.00083709, N/A, N/A, 1326, 1300, 3926, 5226
26, 52, 0.00456905, 0.00148511, N/A, N/A, 2652, 2600, 7852, 10452
26, 104, 0.00489712, 0.00283813, N/A, N/A, 5304, 5200, 15704, 20904
37, 1, 0.00013590, 0.00001287, N/A, N/A, 73, 72, 217, 289
37, 2, 0.00047278, 0.00006819, N/A, N/A, 146, 144, 434, 578
37, 4, 0.00065160, 0.00019526, N/A, N/A, 292, 288, 868, 1156
37, 8, 0.00118136, 0.00036001, N/A, N/A, 584, 576, 1736, 2312
37, 37, 0.00778008, 0.00198913, N/A, N/A, 2701, 2664, 8029, 10693
37, 74, 0.01144004, 0.00426006, N/A, N/A, 5402, 5328, 16058, 21386
37, 148, 0.00797224, 0.00339127, N/A, N/A, 10804, 10656, 32116, 42772
51, 1, 0.00015092, 0.00001717, N/A, N/A, 101, 100, 301, 401
51, 2, 0.00036621, 0.00013494, N/A, N/A, 202, 200, 602, 802
51, 4, 0.00038886, 0.00011396, N/A, N/A, 404, 400, 1204, 1604
51, 8, 0.00078487, 0.00024915, N/A, N/A, 808, 800, 2408, 3208
51, 51, 0.01056504, 0.00409412, N/A, N/A, 5151, 5100, 15351, 20451
51, 102, 0.01384306, 0.00754213, N/A, N/A, 10302, 10200, 30702, 40902
51, 204, 0.01655602, 0.00654721, N/A, N/A, 20604, 20400, 61404, 81804
71, 1, 0.00022483, 0.00005579, N/A, N/A, 141, 140, 421, 561
71, 2, 0.00349283, 0.00013804, N/A, N/A, 282, 280, 842, 1122
71, 4, 0.00077009, 0.00036812, N/A, N/A, 564, 560, 1684, 2244
71, 8, 0.00122309, 0.00049615, N/A, N/A, 1128, 1120, 3368, 4488
71, 71, 0.01017880, 0.00433922, N/A, N/A, 10011, 9940, 29891, 39831
71, 142, 0.02847004, 0.00870895, N/A, N/A, 20022, 19880, 59782, 79662
71, 284, 0.07857704, 0.05241418, N/A, N/A, 40044, 39760, 119564, 159324
100, 1, 0.00090909, 0.00032115, N/A, N/A, 199, 198, 595, 793
100, 2, 0.00165606, 0.00060511, N/A, N/A, 398, 396, 1190, 1586
100, 4, 0.00272489, 0.00086594, N/A, N/A, 796, 792, 2380, 3172
100, 8, 0.00345588, 0.00221109, N/A, N/A, 1592, 1584, 4760, 6344
100, 100, 0.02622604, 0.01161599, N/A, N/A, 19900, 19800, 59500, 79300
100, 200, 0.05030179, 0.02061725, N/A, N/A, 39800, 39600, 119000, 158600
100, 400, 0.10130215, 0.04242301, N/A, N/A, 79600, 79200, 238000, 317200
138, 1, 0.00049520, 0.00022674, N/A, N/A, 275, 274, 823, 1097
138, 2, 0.00082707, 0.00030684, N/A, N/A, 550, 548, 1646, 2194
138, 4, 0.00184083, 0.00083303, N/A, N/A, 1100, 1096, 3292, 4388
138, 8, 0.00357819, 0.00160193, N/A, N/A, 2200, 2192, 6584, 8776
138, 138, 0.06387091, 0.02659202, N/A, N/A, 37950, 37812, 113574, 151386
138, 276, 0.12368917, 0.05169797, N/A, N/A, 75900, 75624, 227148, 302772
138, 552, 0.24997211, 0.10337162, N/A, N/A, 151800, 151248, 454296, 605544
193, 1, 0.00081110, 0.00034189, N/A, N/A, 385, 384, 1153, 1537
193, 2, 0.00157022, 0.00068498, N/A, N/A, 770, 768, 2306, 3074
193, 4, 0.00305486, 0.00127912, N/A, N/A, 1540, 1536, 4612, 6148
193, 8, 0.00620389, 0.00270510, N/A, N/A, 3080, 3072, 9224, 12296
193, 193, 0.15613103, 0.06449604, N/A, N/A, 74305, 74112, 222529, 296641
193, 386, 0.34487677, 0.16268516, N/A, N/A, 148610, 148224, 445058, 593282
193, 772, 0.62947416, 0.26276803, N/A, N/A, 297220, 296448, 890116, 1186564
5, 20, 0.02355886, 0.00006294, 0.02331710, 2.945e-01, 180, 160, 500, 660
