n_qubits, trotter_steps, total_time, decomposition_time, verification_time, error, total_gates, cnot, single_qubit, elementary_total
3, 1, 0.00077176, 0.00000930, 0.00070500, 2.835e+00, 5, 4, 13, 17
3, 1, 0.00029612, 0.00000501, 0.00026798, 2.835e+00, 5, 4, 13, 17
3, 1, 0.00031090, 0.00000405, 0.00025702, 2.835e+00, 5, 4, 13, 17
3, 1, 0.00033188, 0.00000381, 0.00030613, 2.835e+00, 5, 4, 13, 17
3, 1, 0.00027537, 0.00000310, 0.00024891, 2.835e+00, 5, 4, 13, 17
3, 2, 0.00038004, 0.00000405, 0.00035310, 1.186e+00, 10, 8, 26, 34
3, 2, 0.00037694, 0.00000262, 0.00034976, 1.186e+00, 10, 8, 26, 34
3, 2, 0.00037503, 0.00000405, 0.00034833, 1.186e+00, 10, 8, 26, 34
3, 3, 0.00047994, 0.00000405, 0.00045180, 7.592e-01, 15, 12, 39, 51
3, 3, 0.00047779, 0.00000429, 0.00044799, 7.592e-01, 15, 12, 39, 51
3, 4, 0.00057888, 0.00000477, 0.00054789, 5.610e-01, 20, 16, 52, 68
3, 4, 0.00058031, 0.00000501, 0.00054908, 5.610e-01, 20, 16, 52, 68
3, 5, 0.00068092, 0.00000501, 0.00064707, 4.457e-01, 25, 20, 65, 85
3, 6, 0.00079107, 0.00000501, 0.00075483, 3.700e-01, 30, 24, 78, 102
3, 7, 0.00088906, 0.00000715, 0.00085092, 3.164e-01, 35, 28, 91, 119
3, 8, 0.00099301, 0.00000691, 0.00095272, 2.765e-01, 40, 32, 104, 136
3, 9, 0.00109911, 0.00000691, 0.00105596, 2.455e-01, 45, 36, 117, 153
3, 10, 0.00119996, 0.00000787, 0.00115800, 2.208e-01, 50, 40, 130, 170
3, 12, 0.00249600, 0.00010800, 0.00228095, 1.838e-01, 60, 48, 156, 204
3, 14, 0.00185013, 0.00001216, 0.00172901, 1.575e-01, 70, 56, 182, 238
3, 16, 0.00207114, 0.00002408, 0.00195193, 1.377e-01, 80, 64, 208, 272
3, 18, 0.00219274, 0.00001597, 0.00208998, 1.224e-01, 90, 72, 234, 306
3, 21, 0.00251007, 0.00003195, 0.00238228, 1.049e-01, 105, 84, 273, 357
3, 24, 0.00283194, 0.00002003, 0.00271630, 9.176e-02, 120, 96, 312, 408
3, 28, 0.00334430, 0.00005674, 0.00315785, 7.864e-02, 140, 112, 364, 476
3, 32, 0.00375509, 0.00007010, 0.00358391, 6.880e-02, 160, 128, 416, 544
3, 37, 0.00534987, 0.00004983, 0.00511217, 5.950e-02, 185, 148, 481, 629
3, 43, 0.00498581, 0.00008702, 0.00475121, 5.119e-02, 215, 172, 559, 731
3, 49, 0.00585818, 0.00008011, 0.00562596, 4.492e-02, 245, 196, 637, 833
3, 57, 0.00617337, 0.00006032, 0.00597310, 3.862e-02, 285, 228, 741, 969
3, 65, 0.00695491, 0.00004792, 0.00675416, 3.386e-02, 325, 260, 845, 1105
3, 75, 0.00796795, 0.00007296, 0.00773001, 2.935e-02, 375, 300, 975, 1275
3, 86, 0.00921106, 0.00006819, 0.00897026, 2.559e-02, 430, 344, 1118, 1462
3, 100, 0.01058102, 0.00008726, 0.01029205, 2.201e-02, 500, 400, 1300, 1700
3, 114, 0.01220608, 0.00024509, 0.01174092, 1.931e-02, 570, 456, 1482, 1938
3, 132, 0.01386189, 0.00010681, 0.01350999, 1.667e-02, 660, 528, 1716, 2244
3, 151, 0.01584101, 0.00011802, 0.01545620, 1.458e-02, 755, 604, 1963, 2567
3, 174, 0.01833129, 0.00013113, 0.01789904, 1.265e-02, 870, 696, 2262, 2958
3, 200, 0.02148890, 0.00016618, 0.02095413, 1.101e-02, 1000, 800, 2600, 3400
3, 231, 0.02563000, 0.00026512, 0.02496529, 9.528e-03, 1155, 924, 3003, 3927
3, 265, 0.02769780, 0.00021386, 0.02703905, 8.306e-03, 1325, 1060, 3445, 4505
3, 305, 0.03178501, 0.00024438, 0.03104997, 7.216e-03, 1525, 1220, 3965, 5185
3, 351, 0.03632474, 0.00033689, 0.03542995, 6.271e-03, 1755, 1404, 4563, 5967
3, 403, 0.04172492, 0.00030994, 0.04078794, 5.462e-03, 2015, 1612, 5239, 6851
3, 464, 0.04788613, 0.00042391, 0.04675007, 4.744e-03, 2320, 1856, 6032, 7888
3, 533, 0.06053400, 0.00042319, 0.05922222, 4.129e-03, 2665, 2132, 6929, 9061
3, 613, 0.06742620, 0.00058913, 0.06593299, 3.591e-03, 3065, 2452, 7969, 10421
3, 705, 0.07552218, 0.00061178, 0.07383394, 3.122e-03, 3525, 2820, 9165, 11985
3, 811, 0.08755827, 0.00071001, 0.08562112, 2.714e-03, 4055, 3244, 10543, 13787
3, 932, 0.09552002, 0.00078893, 0.09336495, 2.362e-03, 4660, 3728, 12116, 15844
3, 1072, 0.11044383, 0.00086498, 0.10801196, 2.053e-03, 5360, 4288, 13936, 18224
3, 1232, 0.12859702, 0.00103784, 0.12575364, 1.787e-03, 6160, 4928, 16016, 20944
3, 1417, 0.14631081, 0.00116205, 0.14310217, 1.553e-03, 7085, 5668, 18421, 24089
3, 1629, 0.17398477, 0.00132799, 0.17031717, 1.351e-03, 8145, 6516, 21177, 27693
3, 1873, 0.20440602, 0.00356293, 0.19811797, 1.175e-03, 9365, 7492, 24349, 31841
3, 2154, 0.23117900, 0.00177979, 0.22631812, 1.022e-03, 10770, 8616, 28002, 36618
3, 2477, 0.26721215, 0.00207710, 0.26158786, 8.886e-04, 12385, 9908, 32201, 42109
3, 2848, 0.29799294, 0.00237012, 0.29159594, 7.728e-04, 14240, 11392, 37024, 48416
3, 3274, 0.33963704, 0.00266695, 0.33234692, 6.723e-04, 16370, 13096, 42562, 55658
3, 3764, 0.42016983, 0.02618074, 0.38883519, 5.848e-04, 18820, 15056, 48932, 63988
3, 4328, 0.45050597, 0.00363898, 0.44037676, 5.085e-04, 21640, 17312, 56264, 73576
3, 4977, 0.52059102, 0.00421095, 0.50891399, 4.422e-04, 24885, 19908, 64701, 84609
3, 5722, 0.62834692, 0.00471592, 0.61520886, 3.847e-04, 28610, 22888, 74386, 97274
3, 6579, 0.69878578, 0.00556087, 0.68329978, 3.345e-04, 32895, 26316, 85527, 111843
3, 7564, 0.80544782, 0.00634289, 0.78779793, 2.910e-04, 37820, 30256, 98332, 128588
3, 8697, 0.90555596, 0.00722885, 0.88598895, 2.531e-04, 43485, 34788, 113061, 147849
3, 10000, 1.05886984, 0.00826192, 1.03627586, 2.201e-04, 50000, 40000, 130000, 170000
3, 11497, 1.21566391, 0.00944805, 1.18927288, 1.914e-04, 57485, 45988, 149461, 195449
3, 13219, 1.39311910, 0.01095104, 1.36287904, 1.665e-04, 66095, 52876, 171847, 224723
3, 15199, 1.63567114, 0.01249528, 1.60069084, 1.448e-04, 75995, 60796, 197587, 258383
3, 17475, 1.86878324, 0.01446915, 1.82886100, 1.260e-04, 87375, 69900, 227175, 297075
3, 20092, 2.13376713, 0.04619598, 2.05940366, 1.095e-04, 100460, 80368, 261196, 341564
3, 23101, 2.42064404, 0.01893282, 2.36833620, 9.528e-05, 115505, 92404, 300313, 392717
3, 26560, 2.79302335, 0.02254486, 2.73042512, 8.287e-05, 132800, 106240, 345280, 451520
3, 30538, 3.23360515, 0.02503490, 3.16504526, 7.207e-05, 152690, 122152, 396994, 519146
3, 35111, 3.73307371, 0.06061101, 3.62443280, 6.269e-05, 175555, 140444, 456443, 596887
3, 40370, 4.24095702, 0.03292203, 4.15053320, 5.452e-05, 201850, 161480, 524810, 686290
3, 46415, 4.88411307, 0.03793120, 4.77877522, 4.742e-05, 232075, 185660, 603395, 789055
3, 53366, 5.65263009, 0.07976890, 5.50176716, 4.124e-05, 266830, 213464, 693758, 907222
3, 61359, 6.44450092, 0.05023789, 6.30731797, 3.587e-05, 306795, 245436, 797667, 1043103
3, 70548, 7.43878794, 0.09555674, 7.24482608, 3.120e-05, 352740, 282192, 917124, 1199316
3, 81113, 8.50689101, 0.06656599, 8.32304788, 2.714e-05, 405565, 324452, 1054469, 1378921
3, 93260, 9.90126419, 0.11820912, 9.65864897, 2.360e-05, 466300, 373040, 1212380, 1585420
3, 107226, 11.29857516, 0.13115287, 11.02158785, 2.053e-05, 536130, 428904, 1393938, 1822842
3, 123284, 12.98986602, 0.14578295, 12.67822981, 1.785e-05, 616420, 493136, 1602692, 2095828
3, 141747, 14.90123796, 0.16277099, 14.54745889, 1.553e-05, 708735, 566988, 1842711, 2409699
3, 162975, 17.38465190, 0.23251581, 16.93328118, 1.351e-05, 814875, 651900, 2118675, 2770575
3, 187381, 19.69853806, 0.20702815, 19.23760605, 1.175e-05, 936905, 749524, 2435953, 3185477
3, 215443, 22.77713728, 0.28970289, 22.19963217, 1.022e-05, 1077215, 861772, 2800759, 3662531
3, 247707, 25.89650106, 0.32518911, 25.24235702, 8.886e-06, 1238535, 990828, 3220191, 4211019
3, 284803, 29.55647993, 0.36879945, 28.80665207, 7.728e-06, 1424015, 1139212, 3702439, 4841651
3, 327454, 34.38982511, 0.48924708, 33.46675014, 6.722e-06, 1637270, 1309816, 4256902, 5566718
3, 376493, 39.90309787, 0.55157614, 38.84809113, 5.846e-06, 1882465, 1505972, 4894409, 6400381
3, 432876, 45.70227003, 0.72659087, 44.40445375, 5.085e-06, 2164380, 1731504, 5627388, 7358892
3, 497702, 52.44148898, 0.81684089, 50.96238589, 4.422e-06, 2488510, 1990808, 6470126, 8460934
3, 572236, 60.27835608, 1.04085088, 58.48879409, 3.846e-06, 2861180, 2288944, 7439068, 9728012
3, 657933, 69.60516572, 1.18071389, 67.55745721, 3.345e-06, 3289665, 2631732, 8553129, 11184861
3, 756463, 80.39912105, 1.59124398, 77.80196714, 2.910e-06, 3782315, 3025852, 9834019, 12859871
3, 869749, 92.09815311, 2.06560111, 88.89003682, 2.531e-06, 4348745, 3478996, 11306737, 14785733
3, 1000000, 106.32484818, 2.36051464, 102.65317702, 2.201e-06, 5000000, 4000000, 13000000, 17000000
